etudiant_id,niveau,filiere,moy_semestre_prec,note_cc1,note_cc2,note_cc3,taux_absence_actuel,pente_evolution,nb_matieres_sous_10,ratio_notes_obtenues,moyenne_finale
ETU00001,L3,Ingénierie,6.8,6.71,9.69,6.18,18.48,-0.53,1,0.639,8.27
ETU00002,L3,Médecine,13.41,9.31,10.42,10.03,21.77,0.72,4,0.727,12.12
ETU00003,L1,Ingénierie,6.2,15.68,13.07,15.24,11.33,-0.45,0,0.86,9.49
ETU00004,L3,Ingénierie,16.95,12.04,10.21,9.74,4.31,-2.3,5,0.783,13.67
ETU00005,L3,Ingénierie,18.32,14.16,15.19,13.85,12.49,-0.31,5,0.947,13.57
ETU00006,L1,Gestion,18.68,5.09,3.98,6.35,27.61,1.26,5,0.783,11.05
ETU00007,M1,Médecine,8.95,17.93,17.04,15.67,21.29,-2.26,4,0.961,11.92
ETU00008,M2,Gestion,12.44,7.32,10.47,13.09,27.69,5.77,5,0.574,11.81
ETU00009,L1,Informatique,17.59,9.46,12.89,17.52,31.58,8.05,5,0.902,14.59
ETU00010,L1,Gestion,14.94,18.26,18.68,18.82,8.74,0.56,1,0.607,15.28
ETU00011,L3,Ingénierie,9.88,15.26,15.23,17.4,32.0,2.14,0,0.525,11.47
ETU00012,M1,Informatique,16.84,12.15,13.71,11.51,23.19,-0.65,5,0.556,13.68
ETU00013,L1,Droit,13.46,17.08,16.44,14.17,19.63,-2.91,2,0.79,15.62
ETU00014,M2,Informatique,15.49,5.86,2.71,1.82,17.61,-4.04,0,0.645,10.51
ETU00015,L3,Droit,18.6,6.07,2.13,3.66,16.41,-2.41,2,0.572,11.44
ETU00016,L1,Ingénierie,18.97,7.17,7.26,7.56,2.59,0.39,0,0.815,11.41
ETU00017,L3,Ingénierie,12.56,8.7,10.23,10.25,1.91,1.54,3,0.744,10.12
ETU00018,L3,Ingénierie,8.04,14.93,15.15,13.51,11.58,-1.41,4,0.69,10.04
ETU00019,L2,Ingénierie,14.05,12.45,13.87,13.98,7.12,1.52,0,0.768,14.21
ETU00020,L3,Droit,14.37,10.96,12.53,11.86,3.03,0.9,0,0.931,11.62
ETU00021,L2,Informatique,13.44,15.96,18.24,17.15,0.86,1.2,5,0.862,14.82
ETU00022,M2,Médecine,11.49,9.44,9.92,8.71,34.24,-0.73,2,0.748,9.65
ETU00023,L2,Droit,13.56,6.2,6.81,7.4,7.42,1.2,0,0.911,10.92
ETU00024,M2,Gestion,12.94,10.55,10.7,9.92,34.46,-0.64,0,0.931,10.35
ETU00025,M2,Médecine,18.28,15.73,15.54,15.83,19.06,0.1,2,0.688,14.43
ETU00026,L3,Informatique,16.89,11.64,9.48,7.13,6.71,-4.51,0,0.575,11.34
ETU00027,L1,Informatique,11.12,18.68,20.0,20.0,5.09,1.32,0,0.558,14.87
ETU00028,M2,Droit,13.42,16.99,16.61,17.27,7.03,0.29,1,0.819,13.9
ETU00029,L3,Informatique,13.36,16.07,15.61,15.56,12.73,-0.51,4,0.968,11.84
ETU00030,L2,Médecine,12.64,15.82,15.21,15.75,7.17,-0.07,3,0.519,13.29
ETU00031,L1,Médecine,6.75,13.14,11.33,13.03,28.98,-0.11,4,0.749,12.83
ETU00032,L2,Médecine,15.26,17.62,17.69,15.81,12.85,-1.8,1,0.597,14.25
ETU00033,M1,Informatique,15.51,13.26,14.23,14.63,18.44,1.37,0,0.766,15.58
ETU00034,L3,Médecine,12.29,10.22,9.36,7.7,17.54,-2.52,3,0.928,6.98
ETU00035,L1,Ingénierie,17.72,7.74,9.5,9.93,23.08,2.19,5,0.893,12.02
ETU00036,M1,Ingénierie,18.79,16.38,16.03,15.94,34.91,-0.44,3,0.986,16.09
ETU00037,L2,Informatique,16.57,10.2,8.1,8.36,15.52,-1.84,1,0.742,12.04
ETU00038,L1,Gestion,18.06,16.07,18.33,19.91,11.29,3.83,0,0.832,15.72
ETU00039,M1,Informatique,12.34,18.76,19.26,20.0,34.09,1.24,0,0.949,13.66
ETU00040,M1,Gestion,17.89,10.58,12.08,14.01,34.92,3.42,5,0.849,14.45
ETU00041,M2,Ingénierie,18.16,9.77,11.3,11.01,27.33,1.24,1,0.982,15.74
ETU00042,L1,Informatique,14.11,7.38,6.16,7.52,27.92,0.14,0,0.623,11.4
ETU00043,L2,Droit,7.96,11.65,11.07,12.13,14.26,0.48,2,0.567,8.9
ETU00044,L2,Ingénierie,7.98,14.16,15.91,15.65,18.86,1.49,5,0.575,10.28
ETU00045,L3,Ingénierie,12.14,9.38,12.33,12.81,12.31,3.43,2,0.926,11.19
ETU00046,M2,Droit,15.56,11.8,12.09,12.2,21.66,0.4,5,0.526,11.4
ETU00047,L1,Droit,12.52,12.52,11.78,14.17,28.9,1.65,3,0.905,11.24
ETU00048,M1,Droit,16.4,8.85,11.58,13.09,13.09,4.24,5,0.732,12.64
ETU00049,L3,Médecine,16.01,5.33,4.59,4.39,18.73,-0.94,1,0.846,8.82
ETU00050,L3,Ingénierie,8.65,8.02,8.71,8.4,27.12,0.39,3,0.873,9.18
