code_etablissement,type_etablissement,region,taux_reussite_an2,taux_reussite_an1,taux_absence_moyen,ratio_etud_ens,budget_par_etud,nb_labos,taux_rotation_ens,taux_reussite_actuel
ETB001,École,Ariana,80.96,85.17,7.26,44.09,5096,15,16.82,83.65
ETB002,Institut,Sfax,67.56,66.58,27.43,44.54,7955,18,28.75,68.11
ETB003,École,Sfax,84.34,85.32,5.72,23.65,5255,2,13.57,87.02
ETB004,Institut,Jendouba,77.89,78.08,11.02,37.01,5300,19,9.43,81.63
ETB005,ISET,Beja,53.77,56.45,8.58,37.5,4023,12,21.95,52.73
ETB006,ISET,Sfax,89.02,95.0,24.42,25.39,2324,19,26.15,91.76
ETB007,Faculté,Kairouan,80.45,81.9,9.96,18.72,5222,7,6.01,81.22
ETB008,ISET,Sousse,81.44,85.66,27.77,16.23,7332,19,16.24,87.91
ETB009,École,Bizerte,55.12,45.87,21.41,38.32,2092,12,27.31,44.39
ETB010,Institut,Kairouan,68.02,68.77,5.9,29.69,7222,2,23.74,67.59
ETB011,ISET,Kairouan,64.83,61.62,5.14,44.57,4197,8,29.8,61.4
ETB012,École,Ariana,87.07,81.98,6.29,28.95,4985,3,18.29,84.72
ETB013,École,Sousse,75.75,72.36,20.15,44.34,2575,18,21.5,71.98
ETB014,École,Nabeul,82.91,82.24,25.04,27.35,5541,6,12.56,80.52
ETB015,ISET,Monastir,67.74,73.32,10.96,38.81,2685,5,28.69,72.3
ETB016,École,Beja,59.09,53.46,26.24,17.54,3275,11,14.16,55.14
ETB017,École,Sousse,72.18,73.34,6.43,31.66,6190,9,23.46,74.61
ETB018,École,Monastir,52.55,51.13,25.02,39.06,1828,2,15.08,47.54
ETB019,Faculté,Nabeul,83.11,82.47,28.19,42.74,4406,16,19.05,84.71
ETB020,École,Sousse,75.27,81.28,24.3,39.68,5364,17,22.99,83.44
ETB021,Faculté,Beja,80.32,84.01,22.45,16.11,2358,15,17.72,77.09
ETB022,Faculté,Bizerte,64.18,71.87,25.95,26.18,3415,12,27.68,63.8
