etudiant_id,niveau,filiere,moy_semestre_prec,note_cc1,note_cc2,note_cc3,taux_absence,nb_echecs_anterieurs,evolution_notes,participation,a_risque
ETU00001,L3,Ingénierie,6.06,6.9,6.03,7.89,34.63,1,0.99,3.04,1
ETU00002,L3,Droit,13.43,12.69,14.92,15.22,37.58,2,2.53,4.91,0
ETU00003,M1,Ingénierie,18.92,11.25,13.62,15.45,17.04,2,4.2,5.3,0
ETU00004,M1,Informatique,6.5,12.17,13.5,12.79,7.71,1,0.62,3.08,0
ETU00005,M2,Droit,8.7,8.02,6.74,4.31,16.81,0,-3.7,7.38,0
ETU00006,M2,Informatique,12.75,18.14,15.06,14.35,18.25,2,-3.79,6.92,0
ETU00007,L1,Médecine,16.53,13.94,15.76,14.85,20.78,4,0.91,7.61,0
ETU00008,L3,Médecine,7.16,17.59,17.96,17.31,10.97,2,-0.28,6.06,0
ETU00009,L3,Gestion,11.14,6.53,5.61,4.47,12.51,4,-2.06,4.6,0
ETU00010,L3,Médecine,15.71,13.72,15.68,15.29,26.22,4,1.57,4.49,0
ETU00011,M2,Ingénierie,10.83,16.89,15.8,17.03,24.87,3,0.14,7.17,0
ETU00012,M1,Droit,8.45,9.63,9.2,12.07,26.48,4,2.44,3.77,0
ETU00013,L3,Droit,8.54,7.73,8.72,6.43,15.09,2,-1.3,4.37,0
ETU00014,M2,Informatique,11.33,8.71,7.24,5.61,13.46,3,-3.1,1.64,0
ETU00015,M1,Informatique,12.23,8.82,8.86,7.97,14.06,0,-0.85,6.8,0
ETU00016,M1,Droit,17.2,11.26,13.09,14.54,38.05,1,3.28,0.77,0
ETU00017,M1,Droit,14.35,9.56,10.08,10.07,15.81,2,0.51,9.91,0
ETU00018,L1,Médecine,14.98,8.8,10.87,10.08,24.25,0,1.28,1.44,0
ETU00019,M2,Ingénierie,18.78,14.08,15.98,17.35,20.91,3,3.28,3.83,0
ETU00020,M1,Informatique,11.35,5.74,5.95,7.69,35.05,4,1.95,2.38,1
ETU00021,L1,Informatique,11.24,9.77,6.46,6.73,14.76,0,-3.03,2.91,0
ETU00022,L2,Droit,18.0,14.66,13.2,12.27,17.37,4,-2.38,3.22,0
ETU00023,L2,Gestion,9.2,7.46,8.81,9.51,33.71,0,2.05,7.18,0
ETU00024,L2,Médecine,15.49,8.09,5.97,5.92,6.44,0,-2.18,1.77,0
ETU00025,M1,Gestion,15.81,7.81,7.52,7.46,23.77,3,-0.35,2.64,0
ETU00026,L3,Droit,7.27,5.01,5.72,5.25,16.0,3,0.24,1.01,0
ETU00027,L2,Droit,12.09,11.63,14.04,15.72,39.43,4,4.09,3.31,1
ETU00028,M1,Médecine,8.61,5.55,4.88,5.56,28.86,2,0.01,9.41,1
ETU00029,L2,Informatique,8.41,8.82,8.06,9.91,0.42,2,1.09,3.8,0
ETU00030,L1,Ingénierie,12.03,18.93,19.05,20.0,33.58,0,1.07,7.77,0
ETU00031,M2,Gestion,9.76,17.86,18.58,19.57,28.13,3,1.71,4.62,0
ETU00032,L2,Gestion,16.35,8.01,7.98,7.52,22.44,4,-0.49,4.5,0
ETU00033,L2,Médecine,17.8,9.34,11.11,12.97,9.45,2,3.63,8.24,0
ETU00034,M1,Informatique,16.44,11.49,10.49,11.49,5.97,4,-0.0,0.27,0
ETU00035,M1,Droit,9.46,16.82,17.2,20.0,25.14,1,3.18,8.65,0
ETU00036,L1,Informatique,9.56,16.24,17.1,17.87,17.6,4,1.63,4.85,0
ETU00037,L1,Gestion,9.31,6.77,6.37,7.71,34.46,2,0.95,3.51,1
ETU00038,M2,Médecine,7.76,6.74,8.2,8.94,10.49,0,2.2,9.07,0
ETU00039,L3,Gestion,18.27,10.83,11.26,11.41,25.5,1,0.57,3.4,0
ETU00040,L3,Ingénierie,11.23,17.18,18.56,18.48,9.95,2,1.3,9.78,0
ETU00041,L3,Gestion,8.92,17.35,17.84,18.58,25.45,0,1.23,9.36,0
ETU00042,L3,Médecine,17.01,6.5,7.27,8.35,1.93,4,1.85,2.68,0
ETU00043,M1,Informatique,11.19,13.04,12.29,14.32,15.67,1,1.28,3.41,0
ETU00044,L1,Ingénierie,6.46,7.18,6.43,7.2,6.91,3,0.02,8.12,0
ETU00045,L2,Médecine,8.11,14.61,16.64,16.25,24.24,4,1.64,1.96,0
ETU00046,M2,Médecine,14.31,17.83,18.98,18.79,12.67,2,0.96,7.32,0
ETU00047,L1,Gestion,16.18,11.37,10.03,8.35,30.86,3,-3.02,1.29,0
ETU00048,M2,Gestion,8.74,6.16,6.63,9.43,4.58,2,3.26,2.06,0
ETU00049,L3,Droit,17.93,13.11,9.75,9.24,22.25,3,-3.87,5.01,0
ETU00050,L1,Gestion,17.06,10.72,10.06,11.81,23.75,0,1.09,7.46,0
ETU00051,L3,Informatique,17.03,16.35,17.99,18.71,0.88,1,2.36,7.39,0
ETU00052,M1,Médecine,8.96,9.76,9.78,10.53,1.44,3,0.77,6.09,0
ETU00053,L2,Médecine,6.66,17.25,17.63,17.75,12.33,0,0.5,2.72,0
ETU00054,M1,Médecine,17.28,8.83,4.51,3.63,24.36,4,-5.21,4.15,0
ETU00055,L1,Droit,9.98,7.21,6.82,5.66,38.51,3,-1.54,2.46,1
ETU00056,L1,Droit,14.05,9.29,10.0,12.89,3.63,0,3.6,2.77,0
ETU00057,M1,Ingénierie,15.88,5.49,6.39,6.86,28.13,0,1.37,3.23,0
ETU00058,L3,Droit,7.67,8.94,10.58,12.57,27.71,0,3.63,5.99,0
